,HP,PIP,ATK,DEF,INTL,SPD,CRIT,HIT,CRD,RANGE,Name,EquipmentIndex,WeaponIndex,ArmorIndex,Owned,Level,Value,SkillsIndex,Skillsn,ID,EmitterIndex,Pure
19,0,0,2,0,0,1,2,1,0,3,Longbow,0,4,0,0,1,175,0,1,19,0,0
20,0,0,3,0,0,2,3,2,1,3,Yumi bow,0,4,0,0,2,260,1,2,20,0,0
21,0,0,4,0,0,1,4,4,1,3,Compound bow,0,4,0,0,3,350,0,2,21,0,0
22,0,0,6,0,1,2,4,4,2,4,Crimson bow,0,4,0,0,4,420,0,3,22,0,0
23,0,0,7,1,3,-1,5,5,3,4,Bow of stillness,0,4,0,0,6,500,1,3,23,0,0
24,0,0,0,1,0,0,0,0,0,0,Plain shirt,1,0,1,0,1,100,0,1,24,0,0
25,0,0,1,1,0,0,0,0,0,0,Tank top,1,0,1,0,1,175,0,1,25,0,0
26,0,0,0,2,0,0,0,0,1,0,Biker jacket,1,0,1,0,2,260,0,2,26,0,0
27,0,0,1,2,0,0,0,0,2,0,Studded vest,1,0,1,0,3,350,0,2,27,0,0
28,1,0,2,2,1,1,0,0,2,0,Wudang robe,1,0,1,0,4,420,1,2,28,0,0
29,0,1,1,3,0,2,0,0,3,0,Super suit,1,0,1,0,6,500,1,3,29,0,0
30,0,0,0,1,0,0,0,0,0,0,Quilted jacket,1,0,2,0,1,100,0,1,30,0,0
31,0,0,0,1,0,1,0,0,0,0,Leather armor,1,0,2,0,1,175,0,1,31,0,0
32,0,0,0,3,0,-1,0,0,1,0,Chain mail,1,0,2,0,2,260,0,2,32,0,0
33,2,0,1,4,0,-2,0,0,2,0,Reinforced mail,1,0,2,0,3,350,0,2,33,0,0
34,4,0,0,6,0,-3,0,0,2,0,Plate armor,1,0,2,0,4,420,0,3,34,0,1
35,1,2,0,3,3,0,0,0,3,1,Royal armor,1,0,2,0,6,500,1,3,35,0,0
36,0,0,0,0,1,0,0,0,0,0,Apprentice robe,1,0,3,0,1,100,0,1,36,0,0
37,0,0,0,1,1,0,0,0,0,0,Mage robe,1,0,3,0,1,175,0,1,37,0,0
38,0,1,0,1,2,-1,0,0,1,1,Enchanted robe,1,0,3,0,2,260,0,2,38,0,0
39,0,1,0,1,3,0,0,2,2,1,High mage robe,1,0,3,0,3,350,0,2,39,0,0
40,0,1,0,2,4,1,0,1,2,0,Enchanting moon robe,1,0,3,0,4,420,1,3,40,0,0
41,0,2,0,-2,8,0,2,0,3,1,Fiery sun robe,1,0,3,0,6,500,1,3,41,0,0
42,0,0,0,0,0,0,0,1,0,0,Light leather jacket,1,0,4,0,1,100,0,1,42,0,0
43,0,0,0,0,0,1,0,1,0,0,Feather armor,1,0,4,0,1,175,0,1,43,0,0
44,0,0,0,1,0,1,0,2,1,1,Archer armor,1,0,4,0,2,260,1,2,44,0,0
45,0,0,1,1,0,1,1,2,2,2,Eagle armor,1,0,4,0,3,350,0,2,45,0,0
46,0,0,2,0,2,2,1,1,2,0,Nightshade robe,1,0,4,0,4,420,0,3,46,0,0
47,0,0,1,1,1,-1,3,2,3,3,Robe of stillness,1,0,4,0,6,500,1,3,47,0,0
48,0,0,0,0,0,1,0,0,0,0,Crest of the horse,2,0,0,0,1,100,0,0,48,0,0
49,0,0,1,0,0,0,0,0,0,0,Crest of the wolf,2,0,0,0,1,175,0,0,49,0,0
50,1,0,0,1,0,0,0,0,0,0,Crest of the turtle,2,0,0,0,2,260,0,0,50,0,0
51,0,0,0,0,0,0,1,1,0,0,Crest of the eagle,2,0,0,0,2,350,0,0,51,0,0
52,2,0,0,0,0,0,0,0,0,0,Crest of the bear,2,0,0,0,2,420,0,0,52,0,0
53,0,0,0,0,2,0,0,0,0,0,Crest of the owl,2,0,0,0,2,500,0,0,53,0,0
54,0,0,0,0,2,1,0,0,0,0,Crest of the fox,2,0,0,0,3,580,0,0,54,0,0
55,0,0,0,0,1,1,0,0,0,1,Crest of the serpant,2,0,0,0,3,670,0,0,55,0,0
56,2,0,2,0,0,0,0,0,0,0,Crest of the lion,2,0,0,0,4,750,0,0,56,0,0
57,0,0,1,0,0,0,3,0,0,0,Crest of the crow,2,0,0,0,4,750,0,0,57,0,0
58,0,0,2,0,0,2,0,0,0,0,Crest of the tiger,2,0,0,0,4,750,0,0,58,0,0
59,0,0,1,3,0,0,0,0,0,0,Crest of the crocodile,2,0,0,0,4,750,0,0,59,0,0
60,0,1,0,0,4,0,0,0,0,0,Crest of the fairy,2,0,0,0,5,750,0,0,60,0,0
61,2,0,0,2,0,0,0,0,0,1,Crest of the forest,2,0,0,0,5,750,0,0,61,0,0
62,0,2,2,0,2,0,0,0,0,0,Crest of the sea,2,0,0,0,6,750,0,0,62,0,0
